,symbol,name,industry,macro,RS,RSM
181,AXISNIFTY,AXIS MUTUAL FUND - AXIS NIFTY ETF,MF / ETF,Finance,0.9082539627506898,2.691120557430615
182,AXISTECETF,AXIS MUTUAL FUND - AXIS TECHNOLOGY ETF,MF / ETF,Finance,0.7188966338481623,-0.3950589246290104
183,AYMSYNTEX,AYM SYNTEX LTD,Textiles,Industrials,0.7905827388173533,-18.310680530353384
184,BAFNAPH,BAFNA PHARMACEUTICALS LTD,Pharmaceuticals,Healthcare,-1.1573738526104327,44.5435244869776
185,BAGFILMS,B.A.G FILMS AND MEDIA LTD,Broadcasting & Cable TV,SERVICES,0.8368645272519767,-22.44343227810176
186,BAJAJ-AUTO,BAJAJ AUTO LTD,2/3 Wheelers,CDGS ,0.8068871365723388,-22.119465534126338
187,BAJAJCON,BAJAJ CONSUMER CARE LTD,Personal Products,FMCG ,1.0625099756028134,-1.9442337944377996
188,BAJAJELEC,BAJAJ ELECTRICALS LTD,Household Appliances,CAPITAL GOODS,1.4209314108549365,10.703960342021833
189,BAJAJFINSV,BAJAJ FINSERV LTD,Holding Companies,Finance,0.5831977730805308,12.634256424417112
190,BAJAJHCARE,BAJAJ HEALTHCARE LTD,Pharmaceuticals,Healthcare,1.09973950609038,-7.443489319697994
191,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LTD,Sugar,FMCG ,1.164007903472944,-27.988704332219484
192,BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LTD,Holding Companies,Finance,0.5472289724511241,-22.764228696830713
193,BAJFINANCE,BAJAJ FINANCE LTD,Fin COS (including NBFCs),Finance,1.0304138451623965,-16.522460452010247
194,BALAJITELE,BALAJI TELEFILMS LTD,Broadcasting & Cable TV,SERVICES,0.013726437181372952,-89.39420187608147
195,BALAMINES,BALAJI AMINES LTD,Specialty Chemicals,Basic Materials,0.8368024466801899,24.329663537316783
196,BALAXI,BALAXI PHARMACEUTICALS LTD,Pharmaceuticals,Healthcare,0.1764379662369587,-250.25154602632753
197,BALKRISHNA,BALKRISHNA PAPER MILLS LTD,Paper & Paper Products,Basic Materials,0.10492758161995289,-75.74190938739784
198,BALKRISIND,BALKRISHNA INDUSTRIES LTD,Tyres & Rubber Products,CAPITAL GOODS,1.4029175448580238,61.48030545497938
200,BALMLAWRIE,BALMER LAWRIE & COMPANY LTD,Containers & Packaging,Industrials,-0.036524744472146216,-62.96809679467433
201,BALPHARMA,BAL PHARMA LTD,Pharmaceuticals,Healthcare,0.5402610545372949,-11.471649287653541
202,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD,Sugar,FMCG ,1.109482119738982,-15.46137513517758
203,BANARBEADS,BANARAS BEADS LTD,Other Apparels & Accessories,CDGS ,1.111312761848965,-45.51276592158159
204,BANARISUG,BANNARI AMMAN SUGARS LTD,Sugar,FMCG ,1.4150443619648523,-23.948487361951376
205,BANCOINDIA,BANCO PRODUCTS (I) LTD,Auto Parts & Equipment,CDGS ,-0.0552495671422604,-133.96171985509758
206,BANDHANBNK,BANDHAN BANK LTD,BANKS - PVT,Finance,0.8175067277417515,82.84926649856364
207,BANG,BANG OVERSEAS LTD,Other Apparels & Accessories,CDGS ,-0.07761210539503366,33.38379744503985
208,BANKA,BANKA BIOLOO LTD,WASTE MANAGEMENT,SERVICES,-0.048162116752270404,-15.228984324589778
209,BANKBARODA,BANK OF BARODA,BANKS - PSU,Finance,0.8897264226486683,-9.506047147009966
210,BANKBEES,NIPPON INDIA ETF BANK BEES,MF / ETF,Finance,1.0023582272192002,43.95639907496116
211,BANKINDIA,BANK OF INDIA,BANKS - PSU,Finance,-0.3860144398160079,-947.1580393108001
212,BANSWRAS,BANSWARA SYNTEX LTD,Textiles,Industrials,0.11285681485302732,-82.99777508690467
213,BARBEQUE,BARBEQUE NATION HOSPITALITY LTD,Restaurants,SERVICES,0.9014075332625257,-0.7580014905358978
215,BASF,BASF INDIA LTD,Specialty Chemicals,Basic Materials,1.1576980970485349,-11.784453467295341
