Date,Open,High,Low,Close,Adj Close,Volume
2024-01-09,132000.0,133100.0,131202.203125,131692.453125,131689.796875,5777
2024-01-10,132099.0,132199.59375,130210.0,131828.40625,131825.75,5915
2024-01-11,132459.0,133625.0,132002.703125,133368.0,133365.3125,4736
2024-01-12,133868.0,134639.90625,132661.34375,134351.09375,134348.375,6940
2024-01-15,134699.0,136799.953125,133650.046875,135951.15625,135948.40625,8379
2024-01-16,135215.296875,137800.0,135215.296875,136594.703125,136591.9375,7490
2024-01-17,136229.0,150254.15625,134000.046875,134878.296875,134875.578125,37455
2024-01-18,136400.0,137949.953125,133750.0,137587.203125,137584.421875,14497
2024-01-19,138995.296875,139995.953125,138033.34375,139431.953125,139429.140625,10260
2024-01-23,145786.0,147849.796875,139821.25,140997.25,140994.40625,22069
2024-01-24,141900.0,141999.84375,136105.25,139771.046875,139768.21875,17366
2024-01-25,140457.0,140599.953125,136133.046875,136857.953125,136855.1875,13504
2024-01-29,136857.15625,144150.0,136333.046875,143873.59375,143870.6875,26375
2024-01-30,144650.0,144750.0,140004.0,140619.84375,140617.0,13414
2024-01-31,141000.0,142844.953125,140500.09375,142577.40625,142574.53125,11634
2024-02-01,143500.0,144350.0,141701.0,142477.796875,142474.921875,12544
2024-02-02,143000.0,143499.453125,140447.296875,140941.84375,140939.0,12058
2024-02-05,142885.0,143974.34375,140411.296875,141645.75,141642.890625,19822
2024-02-06,142245.0,143600.0,141761.09375,143387.703125,143384.8125,8245
2024-02-07,144385.0,144827.546875,142532.0,142996.796875,142993.90625,7534
2024-02-08,143850.0,143850.0,142010.046875,142483.09375,142480.21875,7121
2024-02-09,143750.0,143750.0,136300.0,137083.34375,137080.578125,26614
2024-02-12,137600.0,144769.59375,137555.0,143802.75,143799.84375,40809
2024-02-13,144802.0,145406.5,142500.59375,144627.40625,144624.484375,15951
2024-02-14,144100.0,148035.5,142768.40625,147284.5,147281.53125,11908
2024-02-15,148000.0,150199.40625,147050.0,148509.84375,148506.84375,16290
2024-02-16,148848.0,149200.0,147499.90625,148054.5,148051.515625,9418
